ID: GO:0005574
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
184	187	SYN	DNA	NA
5353	5356	SYN	DNA	NA
19249	19252	SYN	DNA	NA
19368	19371	SYN	DNA	NA
26805	26808	SYN	DNA	NA
27394	27397	SYN	DNA	NA
28475	28478	SYN	DNA	NA
36157	36160	SYN	DNA	NA
ID: GO:0005488
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
188	195	PREF	BINDING	inding
4351	4357	SYN	LIGAND	igand
5357	5364	PREF	BINDING	inding
26809	26816	PREF	BINDING	inding
27398	27405	PREF	BINDING	inding
ID: GO:0006351
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
219	232	SYN	TRANSCRIPTION	ranscription
731	744	SYN	TRANSCRIPTION	ranscription
3034	3047	SYN	TRANSCRIPTION	ranscription
3569	3582	SYN	TRANSCRIPTION	ranscription
4611	4624	SYN	TRANSCRIPTION	ranscription
12626	12639	SYN	TRANSCRIPTION	ranscription
22800	22813	SYN	TRANSCRIPTION	ranscription
26135	26148	SYN	TRANSCRIPTION	ranscription
26698	26711	SYN	TRANSCRIPTION	ranscription
27406	27419	SYN	TRANSCRIPTION	ranscription
ID: GO:0030097
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
374	387	SYN	HEMATOPOIESIS	ematopoiesis
930	943	SYN	HEMATOPOIESIS	ematopoiesis
1814	1827	SYN	HEMATOPOIESIS	ematopoiesis
2164	2177	SYN	HEMATOPOIESIS	ematopoiesis
2315	2328	SYN	HEMATOPOIESIS	ematopoiesis
2424	2437	SYN	HEMATOPOIESIS	ematopoiesis
2820	2833	SYN	HEMATOPOIESIS	ematopoiesis
3391	3404	SYN	HEMATOPOIESIS	ematopoiesis
5525	5538	SYN	HEMATOPOIESIS	ematopoiesis
5657	5670	SYN	HEMATOPOIESIS	ematopoiesis
7761	7774	SYN	HEMATOPOIESIS	ematopoiesis
8211	8224	SYN	HEMATOPOIESIS	ematopoiesis
13676	13689	SYN	HEMATOPOIESIS	ematopoiesis
15127	15140	SYN	HEMATOPOIESIS	ematopoiesis
16292	16305	SYN	HEMATOPOIESIS	ematopoiesis
20564	20577	SYN	HEMATOPOIESIS	ematopoiesis
22011	22024	SYN	HEMATOPOIESIS	ematopoiesis
22061	22074	SYN	HEMATOPOIESIS	ematopoiesis
23161	23174	SYN	HEMATOPOIESIS	ematopoiesis
24491	24504	SYN	HEMATOPOIESIS	ematopoiesis
24672	24685	SYN	HEMATOPOIESIS	ematopoiesis
25645	25658	SYN	HEMATOPOIESIS	ematopoiesis
33465	33478	SYN	HEMATOPOIESIS	ematopoiesis
37671	37684	SYN	HEMATOPOIESIS	ematopoiesis
40033	40046	SYN	HEMATOPOIESIS	ematopoiesis
41424	41437	SYN	HEMATOPOIESIS	ematopoiesis
ID: GO:0005623
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
419	423	PREF	CELL	ell
1085	1089	PREF	CELL	ell
1199	1203	PREF	CELL	ell
1302	1306	PREF	CELL	ell
1426	1430	PREF	CELL	ell
1648	1652	PREF	CELL	ell
5555	5559	PREF	CELL	ell
5617	5621	PREF	CELL	ell
5935	5939	PREF	CELL	ell
6031	6035	PREF	CELL	ell
6714	6718	PREF	CELL	ell
7170	7174	PREF	CELL	ell
12599	12603	PREF	CELL	ell
15381	15385	PREF	CELL	ell
16008	16012	PREF	CELL	ell
16452	16456	PREF	CELL	ell
17994	17998	PREF	CELL	ell
18044	18048	PREF	CELL	ell
19591	19595	PREF	CELL	ell
20099	20103	PREF	CELL	ell
23482	23486	PREF	CELL	ell
27692	27696	PREF	CELL	ell
28996	29000	PREF	CELL	ell
30600	30604	PREF	CELL	ell
33300	33304	PREF	CELL	ell
38854	38858	PREF	CELL	ell
39551	39555	PREF	CELL	ell
41137	41141	PREF	CELL	ell
ID: GO:0032502
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
