ID: GO:0005623
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
45	49	PREF	CELL	Cell
267	271	PREF	CELL	cell
647	651	PREF	CELL	cell
708	712	PREF	CELL	cell
2350	2354	PREF	CELL	cell
2600	2604	PREF	CELL	cell
2644	2648	PREF	CELL	cell
2704	2708	PREF	CELL	cell
2856	2860	PREF	CELL	cell
3046	3050	PREF	CELL	cell
3227	3231	PREF	CELL	cell
3289	3293	PREF	CELL	cell
3441	3445	PREF	CELL	cell
3648	3652	PREF	CELL	cell
3762	3766	PREF	CELL	cell
4002	4006	PREF	CELL	Cell
4135	4139	PREF	CELL	cell
4202	4206	PREF	CELL	cell
4642	4646	PREF	CELL	cell
5639	5643	PREF	CELL	cell
5681	5685	PREF	CELL	cell
5839	5843	PREF	CELL	cell
6043	6047	PREF	CELL	cell
7383	7387	PREF	CELL	cell
8953	8957	PREF	CELL	cell
12108	12112	PREF	CELL	cell
13984	13988	PREF	CELL	cell
14236	14240	PREF	CELL	cell
15781	15785	PREF	CELL	cell
15838	15842	PREF	CELL	cell
16481	16485	PREF	CELL	cell
16711	16715	PREF	CELL	cell
17100	17104	PREF	CELL	cell
18712	18716	PREF	CELL	cell
18836	18840	PREF	CELL	cell
20424	20428	PREF	CELL	cell
21684	21688	PREF	CELL	cell
22369	22373	PREF	CELL	Cell
22448	22452	PREF	CELL	cell
22741	22745	PREF	CELL	cell
22894	22898	PREF	CELL	cell
23208	23212	PREF	CELL	cell
23264	23268	PREF	CELL	cell
23800	23804	PREF	CELL	cell
23839	23843	PREF	CELL	cell
23864	23868	PREF	CELL	cell
25016	25020	PREF	CELL	cell
27048	27052	PREF	CELL	cell
27301	27305	PREF	CELL	cell
27467	27471	PREF	CELL	cell
28115	28119	PREF	CELL	cell
28234	28238	PREF	CELL	cell
28346	28350	PREF	CELL	cell
28727	28731	PREF	CELL	cell
29637	29641	PREF	CELL	cell
30482	30486	PREF	CELL	cell
31846	31850	PREF	CELL	cell
32938	32942	PREF	CELL	cell
