StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
6	19	GO:0006351	transcription	TRANSCRIPTION	SYN
6	26	GO:0000982	transcription factor	TRANSCRIPTION FACTOR	SYN
59	62	GO:0005574	DNA	DNA	SYN
59	69	GO:0006281	DNA repair	DNA REPAIR	PREF
652	655	GO:0005574	DNA	DNA	SYN
652	662	GO:0006281	DNA repair	DNA REPAIR	PREF
769	772	GO:0005574	DNA	DNA	SYN
769	779	GO:0006281	DNA repair	DNA REPAIR	PREF
818	831	GO:0006351	transcription	TRANSCRIPTION	SYN
930	943	GO:0006351	transcription	TRANSCRIPTION	SYN
1033	1046	GO:0006351	transcription	TRANSCRIPTION	SYN
1033	1053	GO:0000982	transcription factor	TRANSCRIPTION FACTOR	SYN
1145	1148	GO:0005574	DNA	DNA	SYN
1209	1222	GO:0006351	transcription	TRANSCRIPTION	SYN
1280	1283	GO:0005574	DNA	DNA	SYN
1280	1290	GO:0006281	DNA repair	DNA REPAIR	PREF
1411	1424	GO:0006351	transcription	TRANSCRIPTION	SYN
1411	1431	GO:0000982	transcription factor	TRANSCRIPTION FACTOR	SYN
1505	1508	GO:0005574	DNA	DNA	SYN
1505	1515	GO:0006281	DNA repair	DNA REPAIR	PREF
1804	1817	GO:0006351	transcription	TRANSCRIPTION	SYN
1804	1824	GO:0000982	transcription factor	TRANSCRIPTION FACTOR	SYN
2132	2145	GO:0006351	transcription	TRANSCRIPTION	SYN
2132	2152	GO:0000982	transcription factor	TRANSCRIPTION FACTOR	SYN
2190	2203	GO:0006351	transcription	TRANSCRIPTION	SYN
2227	2230	GO:0005574	DNA	DNA	SYN
2227	2237	GO:0006281	DNA repair	DNA REPAIR	PREF
2324	2335	GO:0032502	development	DEVELOPMENT	SYN
2373	2383	GO:0065007	regulation	REGULATION	SYN
2403	2406	GO:0005574	DNA	DNA	SYN
2403	2413	GO:0006281	DNA repair	DNA REPAIR	PREF
2704	2707	GO:0005574	DNA	DNA	SYN
2704	2714	GO:0006281	DNA repair	DNA REPAIR	PREF
3085	3095	GO:0008152	metabolism	METABOLISM	SYN
3200	3210	GO:0008152	metabolism	METABOLISM	SYN
3191	3210	GO:0044237	cellular metabolism	CELLULAR METABOLISM	SYN
3359	3371	GO:0005561	nucleic acid	NUCLEIC ACID	SYN
3409	3412	GO:0005574	DNA	DNA	SYN
3409	3419	GO:0006281	DNA repair	DNA REPAIR	PREF
3458	3461	GO:0005574	DNA	DNA	SYN
3966	3969	GO:0005574	DNA	DNA	SYN
3966	3976	GO:0006281	DNA repair	DNA REPAIR	PREF
4090	4093	GO:0004096	CAT	CAT	SYN
4197	4210	GO:0006351	transcription	TRANSCRIPTION	SYN
4197	4217	GO:0000982	transcription factor	TRANSCRIPTION FACTOR	SYN
4383	4393	GO:0065007	regulation	REGULATION	SYN
4417	4420	GO:0005574	DNA	DNA	SYN
4417	4427	GO:0006281	DNA repair	DNA REPAIR	PREF
4449	4462	GO:0006351	transcription	TRANSCRIPTION	SYN
4517	4527	GO:0065007	regulation	REGULATION	SYN
