ID: GO:0070828
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
23	51	PREF	HETEROCHROMATIN ORGANIZATION	eterochromatin Organization
1699	1727	PREF	HETEROCHROMATIN ORGANIZATION	eterochromatin organization
7927	7955	PREF	HETEROCHROMATIN ORGANIZATION	eterochromatin organization
9116	9144	PREF	HETEROCHROMATIN ORGANIZATION	eterochromatin organization
10307	10335	PREF	HETEROCHROMATIN ORGANIZATION	eterochromatin organization
10663	10691	PREF	HETEROCHROMATIN ORGANIZATION	eterochromatin organization
12338	12366	PREF	HETEROCHROMATIN ORGANIZATION	eterochromatin organization
12773	12801	PREF	HETEROCHROMATIN ORGANIZATION	eterochromatin organization
16407	16435	PREF	HETEROCHROMATIN ORGANIZATION	eterochromatin organization
19010	19038	PREF	HETEROCHROMATIN ORGANIZATION	eterochromatin organization
19313	19341	PREF	HETEROCHROMATIN ORGANIZATION	eterochromatin organization
19947	19975	PREF	HETEROCHROMATIN ORGANIZATION	eterochromatin organization
20772	20800	PREF	HETEROCHROMATIN ORGANIZATION	eterochromatin organization
23813	23841	PREF	HETEROCHROMATIN ORGANIZATION	eterochromatin organization
34054	34082	PREF	HETEROCHROMATIN ORGANIZATION	eterochromatin Organization
36043	36071	PREF	HETEROCHROMATIN ORGANIZATION	eterochromatin organization
36590	36618	PREF	HETEROCHROMATIN ORGANIZATION	eterochromatin Organization
36903	36931	PREF	HETEROCHROMATIN ORGANIZATION	eterochromatin organization
37255	37283	PREF	HETEROCHROMATIN ORGANIZATION	eterochromatin organization
37818	37846	PREF	HETEROCHROMATIN ORGANIZATION	eterochromatin Organization
ID: GO:0000792
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
23	38	PREF	HETEROCHROMATIN	eterochromatin
700	715	PREF	HETEROCHROMATIN	eterochromatin
764	779	PREF	HETEROCHROMATIN	eterochromatin
931	946	PREF	HETEROCHROMATIN	eterochromatin
989	1004	PREF	HETEROCHROMATIN	eterochromatin
1107	1122	PREF	HETEROCHROMATIN	eterochromatin
1316	1331	PREF	HETEROCHROMATIN	eterochromatin
1477	1492	PREF	HETEROCHROMATIN	eterochromatin
1515	1530	PREF	HETEROCHROMATIN	eterochromatin
1699	1714	PREF	HETEROCHROMATIN	eterochromatin
4615	4630	PREF	HETEROCHROMATIN	eterochromatin
4642	4657	PREF	HETEROCHROMATIN	eterochromatin
4941	4956	PREF	HETEROCHROMATIN	eterochromatin
5058	5073	PREF	HETEROCHROMATIN	eterochromatin
5719	5734	PREF	HETEROCHROMATIN	eterochromatin
7163	7178	PREF	HETEROCHROMATIN	eterochromatin
7245	7260	PREF	HETEROCHROMATIN	eterochromatin
7298	7313	PREF	HETEROCHROMATIN	eterochromatin
7495	7510	PREF	HETEROCHROMATIN	eterochromatin
7927	7942	PREF	HETEROCHROMATIN	eterochromatin
8159	8174	PREF	HETEROCHROMATIN	eterochromatin
8403	8418	PREF	HETEROCHROMATIN	eterochromatin
8466	8481	PREF	HETEROCHROMATIN	eterochromatin
9057	9072	PREF	HETEROCHROMATIN	eterochromatin
9116	9131	PREF	HETEROCHROMATIN	eterochromatin
9382	9397	PREF	HETEROCHROMATIN	eterochromatin
10168	10183	PREF	HETEROCHROMATIN	eterochromatin
10307	10322	PREF	HETEROCHROMATIN	eterochromatin
10559	10574	PREF	HETEROCHROMATIN	eterochromatin
10663	10678	PREF	HETEROCHROMATIN	eterochromatin
10867	10882	PREF	HETEROCHROMATIN	eterochromatin
11718	11733	PREF	HETEROCHROMATIN	eterochromatin
12338	12353	PREF	HETEROCHROMATIN	eterochromatin
12643	12658	PREF	HETEROCHROMATIN	eterochromatin
12773	12788	PREF	HETEROCHROMATIN	eterochromatin
13426	13441	PREF	HETEROCHROMATIN	eterochromatin
14145	14160	PREF	HETEROCHROMATIN	eterochromatin
14456	14471	PREF	HETEROCHROMATIN	eterochromatin
15462	15477	PREF	HETEROCHROMATIN	eterochromatin
15795	15810	PREF	HETEROCHROMATIN	eterochromatin
16235	16250	PREF	HETEROCHROMATIN	eterochromatin
16407	16422	PREF	HETEROCHROMATIN	eterochromatin
