StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
67	75	GO:0007612	learning	LEARNING	PREF
141	150	GO:0023052	signaling	SIGNALING	PREF
437	446	GO:0023052	signaling	SIGNALING	PREF
721	730	GO:0023052	signaling	SIGNALING	PREF
771	779	GO:0007612	learning	LEARNING	PREF
1096	1104	GO:0007612	learning	LEARNING	PREF
1974	1983	GO:0007608	olfaction	OLFACTION	SYN
2291	2300	GO:0023052	signaling	SIGNALING	PREF
2391	2399	GO:0007612	learning	LEARNING	PREF
2518	2526	GO:0007612	learning	LEARNING	PREF
2506	2526	GO:0008306	associative learning	ASSOCIATIVE LEARNING	PREF
3119	3127	GO:0007610	behavior	BEHAVIOR	PREF
3289	3297	GO:0007612	learning	LEARNING	PREF
3277	3297	GO:0008306	associative learning	ASSOCIATIVE LEARNING	PREF
3576	3584	GO:0007612	learning	LEARNING	PREF
3564	3584	GO:0008306	associative learning	ASSOCIATIVE LEARNING	PREF
3770	3779	GO:0023052	signaling	SIGNALING	PREF
4039	4048	GO:0009058	formation	FORMATION	SYN
4080	4089	GO:0023052	signaling	SIGNALING	PREF
4153	4160	GO:0003675	protein	PROTEIN	SYN
4567	4575	GO:0007612	learning	LEARNING	PREF
4555	4575	GO:0008306	associative learning	ASSOCIATIVE LEARNING	PREF
4882	4891	GO:0023052	signaling	SIGNALING	PREF
5019	5027	GO:0007612	learning	LEARNING	PREF
5007	5027	GO:0008306	associative learning	ASSOCIATIVE LEARNING	PREF
5074	5083	GO:0023052	signaling	SIGNALING	PREF
5118	5126	GO:0007612	learning	LEARNING	PREF
5106	5126	GO:0008306	associative learning	ASSOCIATIVE LEARNING	PREF
5197	5206	GO:0023052	signaling	SIGNALING	PREF
5253	5261	GO:0007612	learning	LEARNING	PREF
5241	5261	GO:0008306	associative learning	ASSOCIATIVE LEARNING	PREF
5361	5369	GO:0007612	learning	LEARNING	PREF
5349	5369	GO:0008306	associative learning	ASSOCIATIVE LEARNING	PREF
5586	5594	GO:0007612	learning	LEARNING	PREF
5624	5632	GO:0007610	behavior	BEHAVIOR	PREF
5727	5735	GO:0007612	learning	LEARNING	PREF
5715	5735	GO:0008306	associative learning	ASSOCIATIVE LEARNING	PREF
5942	5950	GO:0007612	learning	LEARNING	PREF
6121	6130	GO:0023052	signaling	SIGNALING	PREF
6212	6220	GO:0007612	learning	LEARNING	PREF
6351	6360	GO:0023052	signaling	SIGNALING	PREF
6373	6381	GO:0007612	learning	LEARNING	PREF
6418	6426	GO:0007612	learning	LEARNING	PREF
6543	6551	GO:0007612	learning	LEARNING	PREF
6531	6551	GO:0008306	associative learning	ASSOCIATIVE LEARNING	PREF
6622	6630	GO:0007612	learning	LEARNING	PREF
6667	6675	GO:0007612	learning	LEARNING	PREF
6924	6932	GO:0007612	learning	LEARNING	PREF
7229	7237	GO:0007610	behavior	BEHAVIOR	PREF
7336	7345	GO:0023052	signaling	SIGNALING	PREF
7385	7393	GO:0007612	learning	LEARNING	PREF
7503	7512	GO:0023052	signaling	SIGNALING	PREF
